飼育ケース（金属製）,家庭金物,50センチメートル以上は粗大ごみ。,集団資源回収日,集団資源回収日
飼育ケース（プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ。,毎週火・金曜日,毎週月・木曜日
シーツ,布類,,集団資源回収日,集団資源回収日
CD（コンパクトディスク）,燃やすごみ,なるべく拠点回収へ。,毎週火・金曜日,毎週月・木曜日
シート（ビニールシート・ブルーシート・レジャーシート）,燃やすごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。,毎週火・金曜日,毎週月・木曜日
磁石,不燃ごみ,,毎週木曜日,毎週金曜日
辞書,雑誌,紙以外の表紙は外して燃やすごみ。,集団資源回収日,集団資源回収日
下着（使用済）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
下着（未使用）,布類,,集団資源回収日,集団資源回収日
七輪,不燃ごみ,,毎週木曜日,毎週金曜日
室内用物干し台,粗大ごみ,,戸別回収,戸別回収
ジッパー付保存袋,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
自転車,大型粗大ごみ,1メートル未満は粗大ごみ。電動自転車は収集不可。,戸別回収,戸別回収
自動車部品,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。,ー,ー
竹刀,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。,ー,ー
芝刈り機,粗大ごみ,手動式、電動式、エンジン式可。,戸別回収,戸別回収
シャープペンシル（金属製）,不燃ごみ,,毎週木曜日,毎週金曜日
シャープペンシル（プラスチック製）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
ジャグ（大型水筒）,不燃ごみ,50センチメートル以上は粗大ごみ。,毎週木曜日,毎週金曜日
車載用冷温蔵庫,粗大ごみ,,戸別回収,戸別回収
写真,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
写真プリント紙,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
ジャッキ（パンタグラフ型）,家庭金物,50センチメートル以上は粗大ごみ。,集団資源回収日,集団資源回収日
ジャッキ（油圧式）,粗大ごみ,,戸別回収,戸別回収
シャベル（金属製）,家庭金物,,集団資源回収日,集団資源回収日
シャベル（プラスチック製）,燃やすごみ,,毎週火・金曜日,毎週月・木曜日
