クーラーボックス,粗大ごみ,50センチメートル未満は不燃ごみ。
くぎ,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
草,草・葉・植木,1度に3袋まで。
草刈り機,大型粗大ごみ,肩掛けエンジン式、電動式、手押し式も可。1メートル未満は粗大ごみ。
くさり,家庭金物,
串（金属製）,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
串（木製）,燃やすごみ,
薬のチューブ（金属製）,不燃ごみ,
薬のチューブ（プラスチック製）,燃やすごみ,
薬のチューブのフタ（プラスチック製）,容器包装プラスチック,容器包装プラスチックマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。
薬の袋・箱（紙製）,ミックスペーパー,
薬（錠剤）の容器（びん）,あきびん,中身を空にする。拠点回収にも出せる。
薬（錠剤）の容器（プラスチック製）,容器包装プラスチック,容器包装プラスチックマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。
薬（錠剤）の容器のフタ（金属製）,家庭金物,
薬（錠剤）の容器のふた（プラスチック製）,容器包装プラスチック,容器包装プラスチックマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。
口紅の容器（金属製）,不燃ごみ,
口紅の容器（プラスチック製）,燃やすごみ,
くつ（登山用・スパイク含む）,燃やすごみ,
靴下,燃やすごみ,
クッション,燃やすごみ,
靴の詰め物,燃やすごみ,
靴ベラ（金属製）,家庭金物,
クリーニング袋,燃やすごみ,
クリスマスツリー,燃やすごみ,50センチメートルを超えるものは粗大ごみ。
クリスマスリース,燃やすごみ,50センチメートルを超えるものは粗大ごみ。
クリップ,不燃ごみ,
車椅子,粗大ごみ,電動は収集不可。
車止め（パーキングブロック）（プラスチック製）,粗大ごみ,
グローブ（革製）,燃やすごみ,
軍手,燃やすごみ,
品名,種別,留意点等
蛍光管（蛍光灯）,危険有害ごみ,なるべく拠点回収へ。
携帯電話,小型家電,なるべく小型家電専用回収ボックスへ。
携帯用音楽プレーヤー,小型家電,なるべく小型家電専用回収ボックスへ。
毛糸,燃やすごみ,
計量器（はかり）,不燃ごみ,デジタル式は小型家電。50センチメートル以上は粗大ごみ。
ケージ（ペット用）,粗大ごみ,50センチメートル未満の金属製は家庭金物。
ゲートボールスティック,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
ゲーム機（電気・電池で動作するもの）,小型家電,なるべく小型家電専用回収ボックスへ。
ゲーム機（電気・電池を使用しないもの）,燃やすごみ,
ゲームソフト,燃やすごみ,ディスク式はなるべく拠点回収へ。
毛皮,燃やすごみ,
化粧品のスプレー缶,危険有害ごみ,中身を空にして安全な場所で安全な道具で穴を開ける。
化粧品容器（びん）,あきびん,中身を空にして汚れを落とす。汚れが落ちなければ不燃ごみ。拠点回収にも出せる。
化粧品容器（プラスチック製）,容器包装プラスチック,容器包装プラスチックマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。
血圧計（電池式）,小型家電,電球は外す。なるべく小型家電専用回収ボックスへ。
血圧計（水銀式）,危険有害ごみ,50センチメートル以上は粗大ごみ。なるべく拠点回収へ。
剣山,不燃ごみ,紙に包み指定ごみ袋に入れ「キケン」と表示する。
建設廃材・建築廃材,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
原動機付自転車,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
剣道防具一式（面・胴・小手）,粗大ごみ,竹刀は指定品目。
鍵盤ハーモニカ,不燃ごみ,
品名,種別,留意点等
碁石,燃やすごみ,
鯉のぼり,燃やすごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。
鯉のぼりのポール,不燃ごみ,50センチメートル以上は粗大ごみ。
高圧洗浄機,小型家電,50センチメートル以上は粗大ごみ。
工具箱（金属製）,家庭金物,50センチメートル以上は粗大ごみ。
工具類（電動式）,小型家電,50センチメートル以上は粗大ごみ。
工具類（非電動式）,不燃ごみ,金属製は家庭金物。50センチメートル以上は粗大ごみ。
合成皮革製品,燃やすごみ,
合成油,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
紅茶の缶（金属製のフタを含む）,スチール缶,中身を空にして汚れを落とす。汚れているものは不燃ごみ。
鉱物油,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
コードリール（電気コード用）,家庭金物,コードは外して小型家電。
コード類,小型家電,なるべく小型家電専用回収ボックスへ。
コーヒーメーカー,小型家電,
ござ,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。
こたつ（天板を含む）,粗大ごみ,
コップ（ガラス製）,不燃ごみ,
コップ（金属製）,家庭金物,
コップ（プラスチック製）,燃やすごみ,
